timestamp(ms)    ,Samples ,
"1683797830,192" ,"0,9"   ,
"1683797830,209" ,"1,4"   ,
"1683797830,221" ,"2"     ,
"1683797830,237" ,"2,6"   ,
"1683797830,254" ,"3,2"   ,
"1683797830,266" ,"3,6"   ,
"1683797830,282" ,"3,9"   ,
"1683797830,295" ,"3,9"   ,
"1683797830,312" ,"3,8"   ,
"1683797830,323" ,"3,5"   ,
"1683797830,34"  ,"3"     ,
"1683797830,352" ,"2,5"   ,
"1683797830,368" ,"1,8"   ,
"1683797830,385" ,"1,2"   ,
"1683797830,397" ,"0,7"   ,
"1683797830,413" ,"0,3"   ,
"1683797830,425" ,"0"     ,
"1683797830,442" ,"0"     ,
"1683797830,454" ,"0,1"   ,
"1683797830,47"  ,"0,4"   ,
"1683797830,484" ,"0,9"   ,
"1683797830,499" ,"1,5"   ,
"1683797830,516" ,"2,1"   ,
"1683797830,528" ,"2,7"   ,
"1683797830,544" ,"3,2"   ,
"1683797830,556" ,"3,6"   ,
"1683797830,573" ,"3,9"   ,
"1683797830,585" ,"3,9"   ,
"1683797830,601" ,"3,8"   ,
"1683797830,614" ,"3,4"   ,
"1683797830,63"  ,"3"     ,
"1683797830,647" ,"2,4"   ,
"1683797830,659" ,"1,8"   ,
"1683797830,675" ,"1,2"   ,
"1683797830,688" ,"0,7"   ,
"1683797830,704" ,"0,3"   ,
"1683797830,716" ,"0"     ,
"1683797830,733" ,"0"     ,
"1683797830,745" ,"0,2"   ,
"1683797830,761" ,"0,5"   ,
"1683797830,778" ,"1"     ,
"1683797830,79"  ,"1,5"   ,
"1683797830,806" ,"2,2"   ,
"1683797830,819" ,"2,8"   ,
"1683797830,835" ,"3,3"   ,
"1683797830,847" ,"3,7"   ,
"1683797830,864" ,"3,9"   ,
"1683797830,876" ,"3,9"   ,
"1683797830,892" ,"3,7"   ,
"1683797830,909" ,"3,4"   ,
"1683797830,921" ,"2,9"   ,
"1683797830,938" ,"2,3"   ,
"1683797830,95"  ,"1,7"   ,
"1683797830,967" ,"1,1"   ,
"1683797830,978" ,"0,6"   ,
"1683797830,995" ,"0,2"   ,
"1683797831,007" ,"0"     ,
"1683797831,024" ,"0"     ,
"1683797831,04"  ,"0,2"   ,
"1683797831,052" ,"0,5"   ,
"1683797831,069" ,"1"     ,
"1683797831,081" ,"1,6"   ,
"1683797831,097" ,"2,2"   ,
"1683797831,109" ,"2,8"   ,
"1683797831,126" ,"3,3"   ,
"1683797831,138" ,"3,7"   ,
"1683797831,154" ,"3,9"   ,
"1683797831,171" ,"3,9"   ,
"1683797831,184" ,"3,7"   ,
"1683797831,199" ,"3,4"   ,
"1683797831,212" ,"2,9"   ,
"1683797831,229" ,"2,3"   ,
"1683797831,241" ,"1,7"   ,
"1683797831,257" ,"1,1"   ,
"1683797831,269" ,"0,6"   ,
"1683797831,286" ,"0,2"   ,
"1683797831,302" ,"0"     ,
"1683797831,314" ,"0"     ,
"1683797831,331" ,"0,2"   ,
"1683797831,343" ,"0,6"   ,
"1683797831,359" ,"1,1"   ,
"1683797831,372" ,"1,7"   ,
"1683797831,388" ,"2,3"   ,
"1683797831,4"   ,"2,9"   ,
"1683797831,417" ,"3,4"   ,
"1683797831,433" ,"3,7"   ,
"1683797831,445" ,"3,9"   ,
"1683797831,462" ,"3,9"   ,
"1683797831,474" ,"3,7"   ,
"1683797831,49"  ,"3,3"   ,
"1683797831,502" ,"2,8"   ,
"1683797831,519" ,"2,2"   ,
"1683797831,532" ,"1,6"   ,
"1683797831,548" ,"1"     ,
"1683797831,564" ,"0,5"   ,
"1683797831,576" ,"0,2"   ,
"1683797831,593" ,"0"     ,
"1683797831,605" ,"0"     ,
"1683797831,621" ,"0,2"   ,
"1683797831,634" ,"0,6"   ,
"1683797831,65"  ,"1,1"   ,
"1683797831,663" ,"1,7"   ,
"1683797831,679" ,"2,3"   ,
"1683797831,695" ,"2,9"   ,
"1683797831,708" ,"3,4"   ,
"1683797831,724" ,"3,7"   ,
"1683797831,736" ,"3,9"   ,
"1683797831,752" ,"3,9"   ,
"1683797831,765" ,"3,7"   ,
"1683797831,781" ,"3,3"   ,
"1683797831,794" ,"2,8"   ,
"1683797831,81"  ,"2,2"   ,
"1683797831,826" ,"1,5"   ,
"1683797831,839" ,"1"     ,
"1683797831,855" ,"0,5"   ,
"1683797831,867" ,"0,2"   ,
"1683797831,884" ,"0"     ,
"1683797831,896" ,"0"     ,
"1683797831,912" ,"0,3"   ,
"1683797831,925" ,"0,7"   ,
"1683797831,941" ,"1,2"   ,
"1683797831,957" ,"1,8"   ,
"1683797831,97"  ,"2,4"   ,
"1683797831,986" ,"3"     ,
"1683797831,998" ,"3,4"   ,
"1683797832,015" ,"3,8"   ,
"1683797832,027" ,"3,9"   ,
"1683797832,043" ,"3,9"   ,
